,Rank,Gender,Forename,Incidence,Frequency,freq,gender,m,f
0,1,100%,Musa,"2,407,040",1:74,0.013513513513513514,1.0,1.0,0.0
1,2,100%,Ibrahim,"2,330,121",1:76,0.013157894736842105,1.0,1.0,0.0
2,3,100%,Abubakar,"1,981,909",1:90,0.011111111111111112,1.0,1.0,0.0
3,4,100%,Sani,"1,617,172",1:110,0.00909090909090909,1.0,1.0,0.0
4,5,100%,Abdullahi,"1,529,423",1:116,0.008620689655172414,1.0,1.0,0.0
5,6,100%,Mohammed,"1,407,369",1:126,0.007936507936507936,1.0,1.0,0.0
6,7,100%,Sunday,"1,362,233",1:130,0.007692307692307693,1.0,1.0,0.0
7,8,100%,Umar,"1,299,392",1:137,0.0072992700729927005,1.0,1.0,0.0
8,9,100%,Emmanuel,"1,282,079",1:138,0.007246376811594203,1.0,1.0,0.0
9,10,100%,Adamu,"1,258,123",1:141,0.0070921985815602835,1.0,1.0,0.0
10,11,100%,Usman,"1,167,759",1:152,0.006578947368421052,1.0,1.0,0.0
11,12,100%,Blessing,"1,157,912",1:153,0.006535947712418301,1.0,1.0,0.0
12,13,100%,Aliyu,"971,776",1:183,0.00546448087431694,1.0,1.0,0.0
13,14,100%,Aisha,"956,544",1:186,0.005376344086021506,1.0,1.0,0.0
14,15,100%,Muhammed,"950,357",1:187,0.0053475935828877,1.0,1.0,0.0
15,16,100%,John,"924,831",1:192,0.005208333333333333,1.0,1.0,0.0
16,17,100%,Muhammad,"889,503",1:200,0.005,1.0,1.0,0.0
17,18,100%,Fatima,"883,495",1:201,0.004975124378109453,1.0,1.0,0.0
18,19,100%,Mary,"861,259",1:206,0.0048543689320388345,1.0,1.0,0.0
19,20,100%,Esther,"859,891",1:206,0.0048543689320388345,1.0,1.0,0.0
20,21,100%,Yusuf,"829,523",1:214,0.004672897196261682,1.0,1.0,0.0
21,22,100%,Ali,"814,082",1:218,0.0045871559633027525,1.0,1.0,0.0
22,23,100%,Samuel,"800,334",1:222,0.0045045045045045045,1.0,1.0,0.0
23,24,100%,Aminu,"771,079",1:230,0.004347826086956522,1.0,1.0,0.0
24,25,100%,Grace,"765,275",1:232,0.004310344827586207,1.0,1.0,0.0
25,26,100%,Joseph,"717,559",1:247,0.004048582995951417,1.0,1.0,0.0
26,27,99% ,Hassan,"678,525",1:262,0.003816793893129771,0.99,0.99,0.010000000000000009
27,28,100%,Amina,"631,363",1:281,0.0035587188612099642,1.0,1.0,0.0
28,29,100%,Haruna,"630,349",1:282,0.0035460992907801418,1.0,1.0,0.0
29,30,100%,Salisu,"596,970",1:297,0.003367003367003367,1.0,1.0,0.0
30,31,100%,Peter,"581,165",1:306,0.0032679738562091504,1.0,1.0,0.0
31,32,99% ,Bello,"570,506",1:311,0.003215434083601286,0.99,0.99,0.010000000000000009
32,33,98% ,Garba,"563,202",1:315,0.0031746031746031746,0.98,0.98,0.020000000000000018
33,34,100%,Zainab,"544,793",1:326,0.003067484662576687,1.0,1.0,0.0
34,35,100%,Maryam,"542,104",1:328,0.003048780487804878,1.0,1.0,0.0
35,36,100%,Joy,"541,850",1:328,0.003048780487804878,1.0,1.0,0.0
36,37,100%,Victoria,"537,858",1:330,0.0030303030303030303,1.0,1.0,0.0
37,38,100%,Kabiru,"515,181",1:345,0.002898550724637681,1.0,1.0,0.0
38,39,100%,Elizabeth,"514,373",1:345,0.002898550724637681,1.0,1.0,0.0
39,40,100%,Isa,"504,047",1:352,0.002840909090909091,1.0,1.0,0.0
40,41,100%,Hadiza,"485,623",1:366,0.00273224043715847,1.0,1.0,0.0
41,42,100%,Idris,"483,624",1:367,0.0027247956403269754,1.0,1.0,0.0
42,43,100%,Mercy,"482,085",1:368,0.002717391304347826,1.0,1.0,0.0
43,44,100%,Isah,"476,435",1:373,0.002680965147453083,1.0,1.0,0.0
44,45,100%,Yahaya,"473,534",1:375,0.0026666666666666666,1.0,1.0,0.0
45,46,100%,Hauwa,"470,364",1:378,0.0026455026455026454,1.0,1.0,0.0
46,47,100%,David,"465,066",1:382,0.002617801047120419,1.0,1.0,0.0
47,48,100%,Daniel,"453,661",1:391,0.0025575447570332483,1.0,1.0,0.0
48,49,100%,Ngozi,"447,676",1:397,0.0025188916876574307,1.0,1.0,0.0
49,50,100%,Yakubu,"442,648",1:401,0.0024937655860349127,1.0,1.0,0.0
50,51,100%,Ahmed,"441,368",1:402,0.0024875621890547263,1.0,1.0,0.0
51,52,100%,Patience,"435,934",1:407,0.002457002457002457,1.0,1.0,0.0
52,53,100%,Moses,"433,530",1:410,0.0024390243902439024,1.0,1.0,0.0
53,54, 54%,Taiwo,"427,849",1:415,0.0024096385542168677,0.54,0.54,0.45999999999999996
54,55,100%,James,"426,899",1:416,0.002403846153846154,1.0,1.0,0.0
55,56, 59%,Kehinde,"411,381",1:432,0.0023148148148148147,0.59,0.59,0.41000000000000003
56,57,100%,Rabiu,"410,324",1:433,0.0023094688221709007,1.0,1.0,0.0
57,58,100%,Victor,"409,838",1:433,0.0023094688221709007,1.0,1.0,0.0
58,59,100%,Mustapha,"406,742",1:437,0.002288329519450801,1.0,1.0,0.0
59,60,100%,Friday,"406,246",1:437,0.002288329519450801,1.0,1.0,0.0
60,61,99% ,Shehu,"404,762",1:439,0.002277904328018223,0.99,0.99,0.010000000000000009
61,62,100%,Nura,"396,819",1:447,0.0022371364653243847,1.0,1.0,0.0
62,63,100%,Bala,"395,844",1:449,0.0022271714922048997,1.0,1.0,0.0
63,64,100%,Comfort,"388,356",1:457,0.002188183807439825,1.0,1.0,0.0
64,65,100%,Lawal,"388,069",1:458,0.002183406113537118,1.0,1.0,0.0
65,66,100%,Godwin,"379,522",1:468,0.002136752136752137,1.0,1.0,0.0
66,67,100%,Emeka,"367,112",1:484,0.002066115702479339,1.0,1.0,0.0
67,68,100%,Monday,"365,087",1:486,0.00205761316872428,1.0,1.0,0.0
68,69,100%,Paul,"345,764",1:514,0.0019455252918287938,1.0,1.0,0.0
69,70,99% ,Ahmad,"338,440",1:525,0.0019047619047619048,0.99,0.99,0.010000000000000009
70,71,98% ,Ifeanyi,"337,526",1:526,0.0019011406844106464,0.98,0.98,0.020000000000000018
71,72,100%,Michael,"334,386",1:531,0.0018832391713747645,1.0,1.0,0.0
72,73,100%,Nasiru,"333,596",1:532,0.0018796992481203006,1.0,1.0,0.0
73,74,100%,Anthony,"330,343",1:538,0.0018587360594795538,1.0,1.0,0.0
74,75,100%,Christiana,"327,818",1:542,0.0018450184501845018,1.0,1.0,0.0
75,76,100%,Aishatu,"318,276",1:558,0.0017921146953405018,1.0,1.0,0.0
76,77,100%,Saidu,"307,737",1:577,0.0017331022530329288,1.0,1.0,0.0
77,78,100%,Abba,"307,417",1:578,0.0017301038062283738,1.0,1.0,0.0
78,79,100%,Dauda,"303,269",1:586,0.0017064846416382253,1.0,1.0,0.0
79,80,100%,Solomon,"302,356",1:587,0.0017035775127768314,1.0,1.0,0.0
80,81,99% ,Umaru,"298,781",1:594,0.0016835016835016834,0.99,0.99,0.010000000000000009
81,82,100%,Florence,"295,323",1:601,0.0016638935108153079,1.0,1.0,0.0
82,83,95% ,Chinedu,"294,286",1:603,0.001658374792703151,0.95,0.95,0.050000000000000044
83,84,100%,Halima,"291,454",1:609,0.0016420361247947454,1.0,1.0,0.0
84,85,100%,Felicia,"290,789",1:611,0.0016366612111292963,1.0,1.0,0.0
85,86,100%,Sulaiman,"290,296",1:612,0.0016339869281045752,1.0,1.0,0.0
86,87,100%,Rose,"288,594",1:615,0.0016260162601626016,1.0,1.0,0.0
87,88,100%,Helen,"288,328",1:616,0.0016233766233766235,1.0,1.0,0.0
