name,ethnicity,gender,religion,source
aadil,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
aalam,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
aamir,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
anu,yoruba,female,muslim,https://www.yorubaname.com/
aanuoluwa,yoruba,female,muslim,https://www.yorubaname.com/
aanuoluwakiishi,yoruba,female,muslim,https://maternitynest.com/yoruba-names-girls/
aaqib,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
aashif,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
aashir,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
aasif,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
aasim,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
aazim,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abaeze,igbo,male,christian,https://www.momjunction.com/baby-names/igbo/boy/
abara,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abarshi,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abass,hausa,male,muslim,https://forebears.io/nigeria/forenames
abayomi,yoruba,male,muslim,https://forebears.io/nigeria/forenames
abayomrunkoje,yoruba,male,muslim/christian,https://www.momjunction.com/baby-names/yoruba/boy/
abazu,igbo,male,christian,https://www.sciencedirect.com/science/article/pii/S2352340917304225?via%3Dihub#s0065
abba,hausa,male,muslim,https://forebears.io/nigeria/forenames
abbakar,hausa,male,muslim,https://forebears.io/nigeria/forenames
abbas,yoruba,male,muslim,https://forebears.io/nigeria/forenames
abbey,yoruba,male,muslim/christian,https://maternitynest.com/yoruba-names-girls/
abd alala,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul,yoruba,male,muslim,https://forebears.io/nigeria/forenames
abdul aalee,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul adl,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul afuw,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul ahad,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul aleem,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul alim,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul awwal,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul azeez,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul azim,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul aziz,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul baari,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul baasit,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul badee,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul baith,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul baqi,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul bari,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul baseer,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul basit,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul batin,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul fattah,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul ghafaar,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul ghafoor,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul hafeez,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul hafiz,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul hakam,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul hakeem,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul haleem,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul halim,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul hameed,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul hamid,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul hannan,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
abdul haq,hausa,male,muslim,https://infoguidenigeria.com/hausa-fulani-male-names/
